estado,num_hatos_cuarentena,num_animales,tipo_medida,anio,trimestre,fecha,source_url,fecha_extraccion_etl,fuente_origen,version_etl
Aguascalientes,89,18,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Campeche,3,1,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Coahuila,0,2,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Colima,1,1,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Chiapas,2,1,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Chihuahua,1,1,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Durango,0,0,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Guanajuato,1,92,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Guerrero,1,38,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
Hidalgo,0,3,Cuarentena,2024,4,2024-Q4,https://www.gob.mx/cms/uploads/attachment/file/979992/1._Cuarentenas_Tb_4to_tmt.pdf,2026-04-09T03:05:27.648895+00:00,senasica_cuarentenas,1.0.0
