origen,destino,distancia_carretera_km
Zacatecas,Yucatán,2053.89
Zacatecas,Veracruz,1007.27
Zacatecas,Tlaxcala,787.26
Zacatecas,Tamaulipas,715.54
Zacatecas,Tabasco,1464.6
Zacatecas,Sonora,1485.58
Zacatecas,Sinaloa,732.05
Zacatecas,San Luis Potosí,344.81
Zacatecas,Quintana Roo,2122.79
Zacatecas,Querétaro,551.45
Zacatecas,Puebla,848.35
Zacatecas,Oaxaca,1166.2
Zacatecas,Nuevo León,474.91
Zacatecas,Nayarit,648.16
Zacatecas,Morelos,798.04
Zacatecas,Michoacán,623.09
Zacatecas,México,664.5
Zacatecas,Jalisco,455.08
Zacatecas,Hidalgo,705.58
Zacatecas,Guerrero,951.32
Zacatecas,Guanajuato,395.18
Zacatecas,Durango,371.9
Zacatecas,Ciudad de México,708.63
Zacatecas,Colima,626.2
Zacatecas,Coahuila,677.21
Zacatecas,Chihuahua,868.02
Zacatecas,Chiapas,1594.96
Zacatecas,Campeche,1797.36
Zacatecas,Baja California Sur,3015.77
Zacatecas,Baja California,2210.48
Zacatecas,Aguascalientes,193.31
Yucatán,Zacatecas,2060.22
Yucatán,Veracruz,1127.58
Yucatán,Tlaxcala,1294.39
Yucatán,Tamaulipas,1826.7
Yucatán,Tabasco,667.06
Yucatán,Sonora,3382.36
Yucatán,Sinaloa,2628.83
Yucatán,San Luis Potosí,1857.43
Yucatán,Quintana Roo,202.66
Yucatán,Querétaro,1607.35
Yucatán,Puebla,1233.25
Yucatán,Oaxaca,1223.73
Yucatán,Nuevo León,2006.17
Yucatán,Nayarit,2163.24
Yucatán,Morelos,1393.61
Yucatán,Michoacán,1807.61
Yucatán,México,1462.33
Yucatán,Jalisco,1970.16
Yucatán,Hidalgo,1479.56
Yucatán,Guerrero,1613.15
Yucatán,Guanajuato,1691.52
Yucatán,Durango,2389.54
Yucatán,Ciudad de México,1386.88
Yucatán,Colima,2075.97
Yucatán,Coahuila,2387.37
Yucatán,Chihuahua,2885.65
Yucatán,Chiapas,837.23
Yucatán,Campeche,370.62
Yucatán,Baja California Sur,4985.91
Yucatán,Baja California,4180.63
Yucatán,Aguascalientes,1887.12
Veracruz,Zacatecas,1002.84
Veracruz,Yucatán,1126.5
Veracruz,Tlaxcala,230.79
Veracruz,Tamaulipas,701.4
Veracruz,Tabasco,537.21
Veracruz,Sonora,2324.98
Veracruz,Sinaloa,1571.46
Veracruz,San Luis Potosí,800.05
Veracruz,Quintana Roo,1195.4
Veracruz,Querétaro,549.98
Veracruz,Puebla,223.66
Veracruz,Oaxaca,470.59
Veracruz,Nuevo León,880.87
Veracruz,Nayarit,1105.87
Veracruz,Morelos,367.36
Veracruz,Michoacán,750.24
Veracruz,México,431.84
Veracruz,Jalisco,912.79
Veracruz,Hidalgo,422.19
Veracruz,Guerrero,586.91
Veracruz,Guanajuato,634.15
Veracruz,Durango,1332.16
Veracruz,Ciudad de México,356.4
Veracruz,Colima,1018.6
Veracruz,Coahuila,1262.06
Veracruz,Chihuahua,1828.28
Veracruz,Chiapas,667.56
Veracruz,Campeche,869.97
Veracruz,Baja California Sur,3928.54
Veracruz,Baja California,3123.25
Veracruz,Aguascalientes,829.75
Tlaxcala,Zacatecas,782.94
Tlaxcala,Yucatán,1286.19
Tlaxcala,Veracruz,232.89
Tlaxcala,Tamaulipas,682.3
Tlaxcala,Tabasco,696.9
Tlaxcala,Sonora,2105.08
Tlaxcala,Sinaloa,1351.56
Tlaxcala,San Luis Potosí,580.15
Tlaxcala,Quintana Roo,1355.09
Tlaxcala,Querétaro,330.07
Tlaxcala,Puebla,79.39
Tlaxcala,Oaxaca,400.66
Tlaxcala,Nuevo León,861.77
Tlaxcala,Nayarit,885.96
Tlaxcala,Morelos,176.96
Tlaxcala,Michoacán,530.34
Tlaxcala,México,211.8
Tlaxcala,Jalisco,692.88
Tlaxcala,Hidalgo,202.28
Tlaxcala,Guerrero,396.51
Tlaxcala,Guanajuato,414.25
Tlaxcala,Durango,1112.26
Tlaxcala,Ciudad de México,136.35
Tlaxcala,Colima,798.7
Tlaxcala,Coahuila,1279.62
Tlaxcala,Chihuahua,1608.38
Tlaxcala,Chiapas,827.25
Tlaxcala,Campeche,1029.65
Tlaxcala,Baja California Sur,3708.64
Tlaxcala,Baja California,2903.35
Tlaxcala,Aguascalientes,609.85
Tamaulipas,Zacatecas,715.35
Tamaulipas,Yucatán,1827.37
Tamaulipas,Veracruz,703.04
Tamaulipas,Tlaxcala,684.76
Tamaulipas,Tabasco,1238.08
Tamaulipas,Sonora,2161.61
Tamaulipas,Sinaloa,1408.09
Tamaulipas,San Luis Potosí,376.39
Tamaulipas,Quintana Roo,1896.27
Tamaulipas,Querétaro,714.5
Tamaulipas,Puebla,759.63
Tamaulipas,Oaxaca,1080.89
Tamaulipas,Nuevo León,327.96
Tamaulipas,Nayarit,1020.99
Tamaulipas,Morelos,854.67
Tamaulipas,Michoacán,891.9
Tamaulipas,México,833.43
Tamaulipas,Jalisco,827.91
Tamaulipas,Hidalgo,745.95
Tamaulipas,Guerrero,1074.22
Tamaulipas,Guanajuato,626.97
Tamaulipas,Durango,1045.58
Tamaulipas,Ciudad de México,765.11
Tamaulipas,Colima,999.03
Tamaulipas,Coahuila,709.16
Tamaulipas,Chihuahua,1224.37
Tamaulipas,Chiapas,1368.43
Tamaulipas,Campeche,1570.84
Tamaulipas,Baja California Sur,3555.56
Tamaulipas,Baja California,2750.27
Tamaulipas,Aguascalientes,638.46
Tabasco,Zacatecas,1469.12
Tabasco,Yucatán,664.16
Tabasco,Veracruz,536.48
Tabasco,Tlaxcala,703.29
Tabasco,Tamaulipas,1235.6
Tabasco,Sonora,2791.26
Tabasco,Sinaloa,2037.73
Tabasco,San Luis Potosí,1266.33
Tabasco,Quintana Roo,697.07
Tabasco,Querétaro,1016.25
Tabasco,Puebla,642.15
Tabasco,Oaxaca,632.63
Tabasco,Nuevo León,1415.07
Tabasco,Nayarit,1572.14
Tabasco,Morelos,802.51
Tabasco,Michoacán,1216.51
Tabasco,México,871.23
Tabasco,Jalisco,1379.06
Tabasco,Hidalgo,888.46
Tabasco,Guerrero,1022.05
Tabasco,Guanajuato,1100.42
Tabasco,Durango,1798.44
Tabasco,Ciudad de México,795.78
Tabasco,Colima,1484.87
Tabasco,Coahuila,1796.27
Tabasco,Chihuahua,2294.55
Tabasco,Chiapas,378.92
Tabasco,Campeche,371.64
Tabasco,Baja California Sur,4394.81
Tabasco,Baja California,3589.53
Tabasco,Aguascalientes,1296.02
Sonora,Zacatecas,1485.71
Sonora,Yucatán,3373.94
Sonora,Veracruz,2327.32
Sonora,Tlaxcala,2107.31
Sonora,Tamaulipas,2163.82
Sonora,Tabasco,2784.65
Sonora,Sinaloa,776.4
Sonora,San Luis Potosí,1867.43
Sonora,Quintana Roo,3442.84
Sonora,Querétaro,1880.03
Sonora,Puebla,2168.41
Sonora,Oaxaca,2486.25
Sonora,Nuevo León,1859.34
Sonora,Nayarit,1263.15
Sonora,Morelos,2066.07
Sonora,Michoacán,1750.52
Sonora,México,1928.22
Sonora,Jalisco,1471.19
Sonora,Hidalgo,2025.63
Sonora,Guerrero,2215.05
Sonora,Guanajuato,1756.06
Sonora,Durango,1343.62
Sonora,Ciudad de México,2000.65
Sonora,Colima,1645.83
Sonora,Coahuila,1356.61
Sonora,Chihuahua,851.15
Sonora,Chiapas,2915.01
Sonora,Campeche,3117.41
