origen,destino,distancia_km,flujo_gravedad,origen_id,destino_id,probabilidad_contagio_base
Zacatecas,Yucatán,2053.89,0.14498694861049524,32,31,0.002064123164763063
Zacatecas,Veracruz,1007.27,4.6140133645041566,32,30,0.06568792542689583
Zacatecas,Tlaxcala,787.26,0.07646865409911614,32,29,0.001088654681107027
Zacatecas,Tamaulipas,715.54,2.407237539647743,32,28,0.0342709107012303
Zacatecas,Tabasco,1464.6,0.8102932153560242,32,27,0.011535831411694692
Zacatecas,Sonora,1485.58,0.7575039466780599,32,26,0.010784290991171628
Zacatecas,Sinaloa,732.05,3.1400291651793055,32,25,0.044703381925020075
Zacatecas,San Luis Potosí,344.81,8.980813817038731,32,24,0.12785637614854906
Zacatecas,Quintana Roo,2122.79,0.027737282891048484,32,23,0.0003948849789011626
Zacatecas,Querétaro,551.45,1.1957144831559188,32,22,0.017022925075520667
Zacatecas,Puebla,848.35,1.0543031872370554,32,21,0.015009707096504855
Zacatecas,Oaxaca,1166.2,1.370149450946559,32,20,0.019506288310708414
Zacatecas,Nuevo León,474.91,2.697120606844136,32,19,0.038397863918792734
Zacatecas,Nayarit,648.16,1.612392965443115,32,18,0.022955015624290646
Zacatecas,Morelos,798.04,0.17145406994121967,32,17,0.0024409253443172323
Zacatecas,Michoacán,623.09,5.235172717860607,32,16,0.07453113112616717
Zacatecas,México,664.5,1.3423221581154554,32,15,0.01911012189507031
Zacatecas,Jalisco,455.08,15.19527845319563,32,14,0.21632930791948346
Zacatecas,Hidalgo,705.58,0.9602667057177087,32,13,0.013670946044581822
Zacatecas,Guerrero,951.32,1.4665057198449445,32,12,0.020878075279186618
Zacatecas,Guanajuato,395.18,5.176032334123634,32,11,0.07368917233460444
Zacatecas,Durango,371.9,9.955409422215855,32,10,0.14173131719808266
Zacatecas,Ciudad de México,708.63,0.0047389215622402345,32,9,6.746619517384035e-05
Zacatecas,Colima,626.2,0.4915121297788539,32,6,0.006997468272569199
Zacatecas,Coahuila,677.21,1.0612273675900337,32,5,0.015108283976703748
Zacatecas,Chihuahua,868.02,3.0106262956326915,32,8,0.04286112327223922
Zacatecas,Chiapas,1594.96,1.0456128989085878,32,7,0.01488598681947875
Zacatecas,Campeche,1797.36,0.21174814138329034,32,4,0.0030145764699067205
Zacatecas,Baja California Sur,3015.77,0.016286988229927673,32,3,0.00023187155817681318
Zacatecas,Baja California,2210.48,0.05442885889878406,32,2,0.0007748826329631975
Zacatecas,Aguascalientes,193.31,2.5404831040121243,32,1,0.036167876315323776
Yucatán,Zacatecas,2060.22,0.14409737616644588,31,32,0.0020514586656057627
Yucatán,Veracruz,1127.58,2.207357026218267,31,30,0.031425289064879444
Yucatán,Tlaxcala,1294.39,0.01695845114934552,31,29,0.000241430916308925
Yucatán,Tamaulipas,1826.7,0.22143638753213077,31,28,0.0031525042868129965
Yucatán,Tabasco,667.06,2.341785586488381,31,27,0.03333909653457609
Yucatán,Sonora,3382.36,0.08760602862532701,31,26,0.0012472131787822432
Yucatán,Sinaloa,2628.83,0.14597780600452434,31,25,0.0020782296186169667
Yucatán,San Luis Potosí,1857.43,0.1855441010021355,31,24,0.002641519672177734
Yucatán,Quintana Roo,202.66,1.8244777449169118,31,23,0.025974384680615765
Yucatán,Querétaro,1607.35,0.08437533835746719,31,22,0.0012012190897695903
Yucatán,Puebla,1233.25,0.29909562760508346,31,21,0.004258108880390008
Yucatán,Oaxaca,1223.73,0.7460010967185479,31,20,0.010620529360971322
Yucatán,Nuevo León,2006.17,0.09061168307962322,31,19,0.0012900035198704822
Yucatán,Nayarit,2163.24,0.08678059062611375,31,18,0.0012354617369346806
Yucatán,Morelos,1393.61,0.03370631502077868,31,17,0.000479863782912624
Yucatán,Michoacán,1807.61,0.37292351690459213,31,16,0.005309168013430124
Yucatán,México,1462.33,0.16616999818355005,31,15,0.0023656980564557744
Yucatán,Jalisco,1970.16,0.4860465129788006,31,14,0.006919656398087888
Yucatán,Hidalgo,1479.56,0.1309229844906459,31,13,0.0018638999418703222
Yucatán,Guerrero,1613.15,0.3057624681445621,31,12,0.004353022113099584
Yucatán,Guanajuato,1691.52,0.16936719110011753,31,11,0.002411215256621373
Yucatán,Durango,2389.54,0.14457045142583072,31,10,0.0020581936552784945
Yucatán,Ciudad de México,1386.88,0.0007417157193238595,31,9,1.0559520098862554e-05
Yucatán,Colima,2075.97,0.02681111558476061,31,6,0.0003816994928303383
Yucatán,Coahuila,2387.37,0.05119321052300398,31,5,0.0007288179572838849
Yucatán,Chihuahua,2885.65,0.16331484764900253,31,8,0.0023250503815186482
Yucatán,Chiapas,837.23,2.2749802202740006,31,7,0.03238801434921309
Yucatán,Campeche,370.62,2.985580000691967,31,4,0.04250454884899561
Yucatán,Baja California Sur,4985.91,0.0035722760416436947,31,3,5.085711368610108e-05
Yucatán,Baja California,4180.63,0.009122536473762348,31,2,0.00012987402685103307
Yucatán,Aguascalientes,1887.12,0.015981685592099004,31,1,0.00022752508249024365
Veracruz,Zacatecas,1002.84,4.654867789465194,30,32,0.06626955408901561
Veracruz,Yucatán,1126.5,2.211591537285296,30,31,0.031485574162735945
Veracruz,Tlaxcala,230.79,4.082910732274169,30,29,0.05812682246860377
Veracruz,Tamaulipas,701.4,11.495802620257468,30,28,0.16366129995441325
Veracruz,Tabasco,537.21,27.63605996785578,30,27,0.3934439072559596
Veracruz,Sonora,2324.98,1.4191313236011454,30,26,0.020203624305215214
Veracruz,Sinaloa,1571.46,3.1267456250774552,30,25,0.044514269297317645
Veracruz,San Luis Potosí,800.05,7.654647215414296,30,24,0.10897625466877364
Veracruz,Quintana Roo,1195.4,0.40136132338301783,30,23,0.005714026075964164
Veracruz,Querétaro,549.98,5.5160731821440585,30,22,0.078530202496914
Veracruz,Puebla,223.66,69.60221289703574,30,21,0.9908998108892001
Veracruz,Oaxaca,470.59,38.6111438439835,30,20,0.5496919356546548
Veracruz,Nuevo León,880.87,3.5973558331658397,30,19,0.05121416498723137
Veracruz,Nayarit,1105.87,2.541623597091764,30,18,0.03618411307461485
Veracruz,Morelos,367.36,3.7127647046687744,30,17,0.0528571964971112
Veracruz,Michoacán,750.24,16.569758820498684,30,16,0.23589725381290375
Veracruz,México,431.84,14.584281433286893,30,15,0.20763077943480626
Veracruz,Jalisco,912.79,17.331113066042782,30,14,0.24673636002128502
Veracruz,Hidalgo,422.19,12.307009943102496,30,13,0.17521014516121997
Veracruz,Guerrero,586.91,17.679828097203007,30,12,0.25170088117727263
Veracruz,Guanajuato,634.15,9.223312889288671,30,11,0.13130874173911933
Veracruz,Durango,1332.16,3.5602684406162908,30,10,0.050686166109981785
Veracruz,Ciudad de México,356.4,0.08596610288569699,30,9,0.0012238661896904505
Veracruz,Colima,1018.6,0.852387483381459,30,6,0.01213511124044995
Veracruz,Coahuila,1262.06,1.4021006883359972,30,5,0.019961165731541376
Veracruz,Chihuahua,1828.28,3.113973685740608,30,8,0.044332440132025266
Veracruz,Chiapas,667.56,27.388859792840297,30,7,0.389924613881811
Veracruz,Campeche,869.97,4.147297969913411,30,4,0.059043478691801515
Veracruz,Baja California Sur,3928.54,0.04404117506260187,30,3,0.0006269971919632591
Veracruz,Baja California,3123.25,0.12510450611282523,30,2,0.0017810645134511928
Veracruz,Aguascalientes,829.75,0.6327242377753112,30,1,0.009007850490099443
Tlaxcala,Zacatecas,782.94,0.07731483886666778,29,32,0.001100701486678922
Tlaxcala,Yucatán,1286.19,0.017175374900992836,29,31,0.0002445191759423174
Tlaxcala,Veracruz,232.89,4.009610413813593,29,30,0.05708327415774544
Tlaxcala,Tamaulipas,682.3,0.12298984390568504,29,28,0.0017509588847084753
Tlaxcala,Tabasco,696.9,0.16625416931481463,29,27,0.0023668963683280675
Tlaxcala,Sonora,2105.08,0.01752560381773299,29,26,0.00024950524970234476
Tlaxcala,Sinaloa,1351.56,0.04279349169094998,29,25,0.0006092344059028735
Tlaxcala,San Luis Potosí,580.15,0.14737642492299002,29,24,0.002098141215736212
Tlaxcala,Quintana Roo,1355.09,0.0031620950005671992,29,23,4.5017524697252355e-05
Tlaxcala,Querétaro,330.07,0.15504611111056701,29,22,0.0022073315744406434
Tlaxcala,Puebla,79.39,5.592645042329866,29,21,0.07962032648319867
