estado,clave,inventario_bovino_2023,lon,lat,centroid_x_m,centroid_y_m
Zacatecas,32,1010051,-102.71280409270696,23.260821792065077,2427459.4930717736,1248180.475632715
Yucatán,31,605536,-88.92868165177877,20.780061275478367,3853279.6891782824,1036395.579843595
Veracruz,30,4634761,-96.34893518966304,19.337994273840856,3091982.605458167,827279.137220956
Tlaxcala,29,46922,-98.08339786728047,19.452643141314894,2909996.9709911766,833868.2595612269
Tamaulipas,28,1220235,-98.67545457067985,24.291427079974273,2835671.4381233323,1365416.107077945
Tabasco,27,1720826,-92.61718368341289,17.93400787648896,3492600.013872082,692975.1096012882
Sonora,26,1655136,-110.74372845292812,29.681057043156365,1653901.2547773973,1982564.250161244
Sinaloa,25,1665988,-107.47701299632995,24.987232594807036,1950011.0332600356,1448695.4797565362
San Luis Potosí,24,1057139,-100.44551394051489,22.604557916842268,2658977.6505103973,1176576.5750839366
Quintana Roo,23,123747,-88.1242278699493,19.665255110451692,3948189.5461730314,921843.7779720606
Querétaro,22,359995,-99.87902694485196,20.84024302924433,2719783.5042461315,982942.9486808965
Puebla,21,751229,-97.81699879165404,19.03351018867061,2939225.823667963,788403.844169223
Oaxaca,20,1844891,-96.43684833267496,16.955515012544314,3092993.4127637604,563690.9112888671
Nuevo León,19,602254,-99.996683636199,25.57393190637658,2700307.4779106276,1504260.0736836994
Nayarit,18,670644,-104.85448427299251,21.77999587234665,2206277.0236610943,1087803.5329743144
Morelos,17,108107,-99.00706406481619,18.732507076038043,2814981.3918353943,752039.915511509
Michoacán,16,2012284,-101.88720933030807,19.199204377742387,2511830.598848763,800297.856739403
México,15,586818,-99.62831970657544,19.339501154605927,2748497.820697408,817835.9267269934
Jalisco,14,3115594,-103.63151271904277,20.555118496011463,2330576.1969258566,950848.0358041921
Hidalgo,13,473305,-98.85760501939284,20.48243797836757,2826477.282655148,945447.4261539453
Guerrero,12,1313995,-99.87427075511829,17.66626981000193,2725470.2753602727,632548.2825221961
Guanajuato,11,800283,-101.03781640978593,20.897326129721222,2599665.890490726,987944.4242617188
Durango,10,1363227,-104.98398805096879,24.897776926555725,2200098.51265953,1431454.382759968
Ciudad de México,9,2356,-99.08756070041655,19.237751037416142,2805378.006726037,807649.5851238277
Colima,6,190817,-103.92168355915102,19.140844213153784,2298354.5360835125,795200.7469659701
Coahuila,5,481850,-102.09704146436141,27.277715750474094,2490423.905534049,1690850.6398567487
Chihuahua,8,2245810,-106.44996739774317,28.81229657700194,2066209.2014601019,1867244.8366016222
Chiapas,7,2633463,-92.4758734866993,16.48839014707615,3518149.8376192623,534235.3393752126
Campeche,4,677246,-90.30923701376513,18.827031096788428,3728231.65041672,809281.5468619837
Baja California Sur,3,146654,-112.00224085427081,25.869355047081747,1502944.4166966418,1570216.329579829
Baja California,2,263305,-115.06435292834715,30.515387865809103,1245198.6155493385,2106553.1014696173
Aguascalientes,1,93990,-102.38404547790603,21.97748628657194,2460537.885827072,1106691.115653495
