dia,estado,S,I,R,N,I_perc,R_perc
0,Zacatecas,1010051,0,0,1010051,0.0,0.0
0,Yucatán,605536,0,0,605536,0.0,0.0
0,Veracruz,4634661,100,0,4634761,2.1576085584564122e-05,0.0
0,Tlaxcala,46922,0,0,46922,0.0,0.0
0,Tamaulipas,1220235,0,0,1220235,0.0,0.0
0,Tabasco,1720826,0,0,1720826,0.0,0.0
0,Sonora,1655136,0,0,1655136,0.0,0.0
0,Sinaloa,1665988,0,0,1665988,0.0,0.0
0,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
0,Quintana Roo,123747,0,0,123747,0.0,0.0
0,Querétaro,359995,0,0,359995,0.0,0.0
0,Puebla,751229,0,0,751229,0.0,0.0
0,Oaxaca,1844891,0,0,1844891,0.0,0.0
0,Nuevo León,602254,0,0,602254,0.0,0.0
0,Nayarit,670644,0,0,670644,0.0,0.0
0,Morelos,108107,0,0,108107,0.0,0.0
0,Michoacán,2012284,0,0,2012284,0.0,0.0
0,México,586818,0,0,586818,0.0,0.0
0,Jalisco,3115594,0,0,3115594,0.0,0.0
0,Hidalgo,473305,0,0,473305,0.0,0.0
0,Guerrero,1313995,0,0,1313995,0.0,0.0
0,Guanajuato,800283,0,0,800283,0.0,0.0
0,Durango,1363227,0,0,1363227,0.0,0.0
0,Ciudad de México,2356,0,0,2356,0.0,0.0
0,Colima,190817,0,0,190817,0.0,0.0
0,Coahuila,481850,0,0,481850,0.0,0.0
0,Chihuahua,2245810,0,0,2245810,0.0,0.0
0,Chiapas,2633463,0,0,2633463,0.0,0.0
0,Campeche,677246,0,0,677246,0.0,0.0
0,Baja California Sur,146654,0,0,146654,0.0,0.0
0,Baja California,263305,0,0,263305,0.0,0.0
0,Aguascalientes,93990,0,0,93990,0.0,0.0
1,Zacatecas,1010051,0,0,1010051,0.0,0.0
1,Yucatán,605536,0,0,605536,0.0,0.0
1,Veracruz,4634601,149,10,4634761,3.236384906036469e-05,2.1576085584564125e-06
1,Tlaxcala,46922,0,0,46922,0.0,0.0
1,Tamaulipas,1220235,0,0,1220235,0.0,0.0
1,Tabasco,1720826,0,0,1720826,0.0,0.0
1,Sonora,1655136,0,0,1655136,0.0,0.0
1,Sinaloa,1665988,0,0,1665988,0.0,0.0
1,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
1,Quintana Roo,123747,0,0,123747,0.0,0.0
1,Querétaro,359995,0,0,359995,0.0,0.0
1,Puebla,751229,0,0,751229,0.0,0.0
1,Oaxaca,1844891,0,0,1844891,0.0,0.0
1,Nuevo León,602254,0,0,602254,0.0,0.0
1,Nayarit,670644,0,0,670644,0.0,0.0
1,Morelos,108107,0,0,108107,0.0,0.0
1,Michoacán,2012284,0,0,2012284,0.0,0.0
1,México,586818,0,0,586818,0.0,0.0
1,Jalisco,3115594,0,0,3115594,0.0,0.0
1,Hidalgo,473305,0,0,473305,0.0,0.0
1,Guerrero,1313995,0,0,1313995,0.0,0.0
1,Guanajuato,800283,0,0,800283,0.0,0.0
1,Durango,1363227,0,0,1363227,0.0,0.0
1,Ciudad de México,2356,0,0,2356,0.0,0.0
1,Colima,190817,0,0,190817,0.0,0.0
1,Coahuila,481850,0,0,481850,0.0,0.0
1,Chihuahua,2245810,0,0,2245810,0.0,0.0
1,Chiapas,2633463,0,0,2633463,0.0,0.0
1,Campeche,677246,0,0,677246,0.0,0.0
1,Baja California Sur,146654,0,0,146654,0.0,0.0
1,Baja California,263305,0,0,263305,0.0,0.0
1,Aguascalientes,93990,0,0,93990,0.0,0.0
2,Zacatecas,1010051,0,0,1010051,0.0,0.0
2,Yucatán,605536,0,0,605536,0.0,0.0
2,Veracruz,4634511,224,24,4634761,4.85451032422008e-05,5.393993464492882e-06
2,Tlaxcala,46922,0,0,46922,0.0,0.0
2,Tamaulipas,1220235,0,0,1220235,0.0,0.0
2,Tabasco,1720826,0,0,1720826,0.0,0.0
2,Sonora,1655136,0,0,1655136,0.0,0.0
2,Sinaloa,1665988,0,0,1665988,0.0,0.0
2,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
2,Quintana Roo,123747,0,0,123747,0.0,0.0
2,Querétaro,359995,0,0,359995,0.0,0.0
2,Puebla,751229,0,0,751229,0.0,0.0
2,Oaxaca,1844891,0,0,1844891,0.0,0.0
2,Nuevo León,602254,0,0,602254,0.0,0.0
2,Nayarit,670644,0,0,670644,0.0,0.0
2,Morelos,108107,0,0,108107,0.0,0.0
2,Michoacán,2012284,0,0,2012284,0.0,0.0
2,México,586818,0,0,586818,0.0,0.0
2,Jalisco,3115594,0,0,3115594,0.0,0.0
2,Hidalgo,473305,0,0,473305,0.0,0.0
2,Guerrero,1313995,0,0,1313995,0.0,0.0
2,Guanajuato,800283,0,0,800283,0.0,0.0
2,Durango,1363227,0,0,1363227,0.0,0.0
2,Ciudad de México,2356,0,0,2356,0.0,0.0
2,Colima,190817,0,0,190817,0.0,0.0
2,Coahuila,481850,0,0,481850,0.0,0.0
2,Chihuahua,2245810,0,0,2245810,0.0,0.0
2,Chiapas,2633463,0,0,2633463,0.0,0.0
2,Campeche,677246,0,0,677246,0.0,0.0
2,Baja California Sur,146654,0,0,146654,0.0,0.0
2,Baja California,263305,0,0,263305,0.0,0.0
2,Aguascalientes,93990,0,0,93990,0.0,0.0
3,Zacatecas,1010051,0,0,1010051,0.0,0.0
3,Yucatán,605536,0,0,605536,0.0,0.0
3,Veracruz,4634376,337,47,4634761,7.281608377589014e-05,1.0248503788712964e-05
3,Tlaxcala,46922,0,0,46922,0.0,0.0
3,Tamaulipas,1220235,0,0,1220235,0.0,0.0
3,Tabasco,1720826,0,0,1720826,0.0,0.0
3,Sonora,1655136,0,0,1655136,0.0,0.0
3,Sinaloa,1665988,0,0,1665988,0.0,0.0
3,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
3,Quintana Roo,123747,0,0,123747,0.0,0.0
3,Querétaro,359995,0,0,359995,0.0,0.0
3,Puebla,751229,0,0,751229,0.0,0.0
3,Oaxaca,1844891,0,0,1844891,0.0,0.0
3,Nuevo León,602254,0,0,602254,0.0,0.0
3,Nayarit,670644,0,0,670644,0.0,0.0
3,Morelos,108107,0,0,108107,0.0,0.0
3,Michoacán,2012284,0,0,2012284,0.0,0.0
3,México,586818,0,0,586818,0.0,0.0
3,Jalisco,3115594,0,0,3115594,0.0,0.0
3,Hidalgo,473305,0,0,473305,0.0,0.0
3,Guerrero,1313995,0,0,1313995,0.0,0.0
3,Guanajuato,800283,0,0,800283,0.0,0.0
3,Durango,1363227,0,0,1363227,0.0,0.0
3,Ciudad de México,2356,0,0,2356,0.0,0.0
3,Colima,190817,0,0,190817,0.0,0.0
3,Coahuila,481850,0,0,481850,0.0,0.0
3,Chihuahua,2245810,0,0,2245810,0.0,0.0
3,Chiapas,2633463,0,0,2633463,0.0,0.0
3,Campeche,677246,0,0,677246,0.0,0.0
3,Baja California Sur,146654,0,0,146654,0.0,0.0
3,Baja California,263305,0,0,263305,0.0,0.0
3,Aguascalientes,93990,0,0,93990,0.0,0.0
4,Zacatecas,1010051,0,0,1010051,0.0,0.0
4,Yucatán,605536,0,0,605536,0.0,0.0
4,Veracruz,4634173,506,81,4634761,0.00010922049660105507,1.753011216630198e-05
4,Tlaxcala,46922,0,0,46922,0.0,0.0
4,Tamaulipas,1220235,0,0,1220235,0.0,0.0
4,Tabasco,1720826,0,0,1720826,0.0,0.0
4,Sonora,1655136,0,0,1655136,0.0,0.0
4,Sinaloa,1665988,0,0,1665988,0.0,0.0
4,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
4,Quintana Roo,123747,0,0,123747,0.0,0.0
4,Querétaro,359995,0,0,359995,0.0,0.0
4,Puebla,751229,0,0,751229,0.0,0.0
4,Oaxaca,1844891,0,0,1844891,0.0,0.0
4,Nuevo León,602254,0,0,602254,0.0,0.0
4,Nayarit,670644,0,0,670644,0.0,0.0
4,Morelos,108107,0,0,108107,0.0,0.0
4,Michoacán,2012284,0,0,2012284,0.0,0.0
4,México,586818,0,0,586818,0.0,0.0
4,Jalisco,3115594,0,0,3115594,0.0,0.0
4,Hidalgo,473305,0,0,473305,0.0,0.0
4,Guerrero,1313995,0,0,1313995,0.0,0.0
4,Guanajuato,800283,0,0,800283,0.0,0.0
4,Durango,1363227,0,0,1363227,0.0,0.0
4,Ciudad de México,2356,0,0,2356,0.0,0.0
4,Colima,190817,0,0,190817,0.0,0.0
4,Coahuila,481850,0,0,481850,0.0,0.0
4,Chihuahua,2245810,0,0,2245810,0.0,0.0
4,Chiapas,2633463,0,0,2633463,0.0,0.0
4,Campeche,677246,0,0,677246,0.0,0.0
4,Baja California Sur,146654,0,0,146654,0.0,0.0
4,Baja California,263305,0,0,263305,0.0,0.0
4,Aguascalientes,93990,0,0,93990,0.0,0.0
5,Zacatecas,1010051,0,0,1010051,0.0,0.0
5,Yucatán,605536,0,0,605536,0.0,0.0
5,Veracruz,4633869,759,131,4634761,0.00016382243864292216,2.8452161826407483e-05
5,Tlaxcala,46922,0,0,46922,0.0,0.0
5,Tamaulipas,1220235,0,0,1220235,0.0,0.0
5,Tabasco,1720826,0,0,1720826,0.0,0.0
5,Sonora,1655136,0,0,1655136,0.0,0.0
5,Sinaloa,1665988,0,0,1665988,0.0,0.0
5,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
5,Quintana Roo,123747,0,0,123747,0.0,0.0
5,Querétaro,359995,0,0,359995,0.0,0.0
5,Puebla,751229,0,0,751229,0.0,0.0
5,Oaxaca,1844891,0,0,1844891,0.0,0.0
5,Nuevo León,602254,0,0,602254,0.0,0.0
5,Nayarit,670644,0,0,670644,0.0,0.0
5,Morelos,108107,0,0,108107,0.0,0.0
5,Michoacán,2012284,0,0,2012284,0.0,0.0
5,México,586818,0,0,586818,0.0,0.0
5,Jalisco,3115594,0,0,3115594,0.0,0.0
5,Hidalgo,473305,0,0,473305,0.0,0.0
5,Guerrero,1313995,0,0,1313995,0.0,0.0
5,Guanajuato,800283,0,0,800283,0.0,0.0
5,Durango,1363227,0,0,1363227,0.0,0.0
5,Ciudad de México,2356,0,0,2356,0.0,0.0
5,Colima,190817,0,0,190817,0.0,0.0
5,Coahuila,481850,0,0,481850,0.0,0.0
5,Chihuahua,2245810,0,0,2245810,0.0,0.0
5,Chiapas,2633463,0,0,2633463,0.0,0.0
5,Campeche,677246,0,0,677246,0.0,0.0
5,Baja California Sur,146654,0,0,146654,0.0,0.0
5,Baja California,263305,0,0,263305,0.0,0.0
5,Aguascalientes,93990,0,0,93990,0.0,0.0
6,Zacatecas,1010051,0,0,1010051,0.0,0.0
6,Yucatán,605536,0,0,605536,0.0,0.0
6,Veracruz,4633414,1138,207,4634761,0.00024571475862802044,4.48344056906997e-05
6,Tlaxcala,46922,0,0,46922,0.0,0.0
6,Tamaulipas,1220235,0,0,1220235,0.0,0.0
6,Tabasco,1720826,0,0,1720826,0.0,0.0
6,Sonora,1655136,0,0,1655136,0.0,0.0
6,Sinaloa,1665988,0,0,1665988,0.0,0.0
6,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
6,Quintana Roo,123747,0,0,123747,0.0,0.0
6,Querétaro,359995,0,0,359995,0.0,0.0
6,Puebla,751229,0,0,751229,0.0,0.0
6,Oaxaca,1844891,0,0,1844891,0.0,0.0
6,Nuevo León,602254,0,0,602254,0.0,0.0
6,Nayarit,670644,0,0,670644,0.0,0.0
6,Morelos,108107,0,0,108107,0.0,0.0
6,Michoacán,2012284,0,0,2012284,0.0,0.0
6,México,586818,0,0,586818,0.0,0.0
6,Jalisco,3115594,0,0,3115594,0.0,0.0
6,Hidalgo,473305,0,0,473305,0.0,0.0
6,Guerrero,1313995,0,0,1313995,0.0,0.0
6,Guanajuato,800283,0,0,800283,0.0,0.0
6,Durango,1363227,0,0,1363227,0.0,0.0
6,Ciudad de México,2356,0,0,2356,0.0,0.0
6,Colima,190817,0,0,190817,0.0,0.0
6,Coahuila,481850,0,0,481850,0.0,0.0
6,Chihuahua,2245810,0,0,2245810,0.0,0.0
6,Chiapas,2633463,0,0,2633463,0.0,0.0
6,Campeche,677246,0,0,677246,0.0,0.0
6,Baja California Sur,146654,0,0,146654,0.0,0.0
6,Baja California,263305,0,0,263305,0.0,0.0
6,Aguascalientes,93990,0,0,93990,0.0,0.0
7,Zacatecas,1010051,0,0,1010051,0.0,0.0
7,Yucatán,605536,0,0,605536,0.0,0.0
7,Veracruz,4632731,1708,321,4634761,0.0003685293026113626,6.940588155350175e-05
7,Tlaxcala,46922,0,0,46922,0.0,0.0
7,Tamaulipas,1220235,0,0,1220235,0.0,0.0
7,Tabasco,1720826,0,0,1720826,0.0,0.0
7,Sonora,1655136,0,0,1655136,0.0,0.0
7,Sinaloa,1665988,0,0,1665988,0.0,0.0
7,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
7,Quintana Roo,123747,0,0,123747,0.0,0.0
7,Querétaro,359995,0,0,359995,0.0,0.0
7,Puebla,751229,0,0,751229,0.0,0.0
7,Oaxaca,1844891,0,0,1844891,0.0,0.0
7,Nuevo León,602254,0,0,602254,0.0,0.0
7,Nayarit,670644,0,0,670644,0.0,0.0
7,Morelos,108107,0,0,108107,0.0,0.0
7,Michoacán,2012284,0,0,2012284,0.0,0.0
7,México,586818,0,0,586818,0.0,0.0
7,Jalisco,3115594,0,0,3115594,0.0,0.0
7,Hidalgo,473305,0,0,473305,0.0,0.0
7,Guerrero,1313995,0,0,1313995,0.0,0.0
7,Guanajuato,800283,0,0,800283,0.0,0.0
7,Durango,1363227,0,0,1363227,0.0,0.0
7,Ciudad de México,2356,0,0,2356,0.0,0.0
7,Colima,190817,0,0,190817,0.0,0.0
7,Coahuila,481850,0,0,481850,0.0,0.0
7,Chihuahua,2245810,0,0,2245810,0.0,0.0
7,Chiapas,2633463,0,0,2633463,0.0,0.0
7,Campeche,677246,0,0,677246,0.0,0.0
7,Baja California Sur,146654,0,0,146654,0.0,0.0
7,Baja California,263305,0,0,263305,0.0,0.0
7,Aguascalientes,93990,0,0,93990,0.0,0.0
8,Zacatecas,1010051,0,0,1010051,0.0,0.0
8,Yucatán,605536,0,0,605536,0.0,0.0
8,Veracruz,4631706,2561,492,4634761,0.0005526971187482382,0.00010625881181463801
8,Tlaxcala,46922,0,0,46922,0.0,0.0
8,Tamaulipas,1220235,0,0,1220235,0.0,0.0
8,Tabasco,1720826,0,0,1720826,0.0,0.0
8,Sonora,1655136,0,0,1655136,0.0,0.0
8,Sinaloa,1665988,0,0,1665988,0.0,0.0
8,San Luis Potosí,1057139,0,0,1057139,0.0,0.0
8,Quintana Roo,123747,0,0,123747,0.0,0.0
8,Querétaro,359995,0,0,359995,0.0,0.0
8,Puebla,751229,0,0,751229,0.0,0.0
8,Oaxaca,1844891,0,0,1844891,0.0,0.0
8,Nuevo León,602254,0,0,602254,0.0,0.0
8,Nayarit,670644,0,0,670644,0.0,0.0
8,Morelos,108107,0,0,108107,0.0,0.0
8,Michoacán,2012284,0,0,2012284,0.0,0.0
8,México,586818,0,0,586818,0.0,0.0
8,Jalisco,3115594,0,0,3115594,0.0,0.0
8,Hidalgo,473305,0,0,473305,0.0,0.0
8,Guerrero,1313995,0,0,1313995,0.0,0.0
8,Guanajuato,800283,0,0,800283,0.0,0.0
8,Durango,1363227,0,0,1363227,0.0,0.0
8,Ciudad de México,2356,0,0,2356,0.0,0.0
8,Colima,190817,0,0,190817,0.0,0.0
8,Coahuila,481850,0,0,481850,0.0,0.0
8,Chihuahua,2245810,0,0,2245810,0.0,0.0
8,Chiapas,2633463,0,0,2633463,0.0,0.0
8,Campeche,677246,0,0,677246,0.0,0.0
8,Baja California Sur,146654,0,0,146654,0.0,0.0
8,Baja California,263305,0,0,263305,0.0,0.0
