dia,infectados,removidos
0,100.0,0.0
1,149.99870543486492,10.0
2,224.99495124792583,24.999870543486495
3,337.4851452572284,47.49936566827908
4,506.2108980472026,81.24788019400192
5,759.2778495471085,131.86896999872218
6,1138.8291804135627,207.79675495343304
7,1708.0452391003414,321.6796729947893
8,2561.6190507867036,492.4841969048235
9,3841.4157797408398,748.6461019834938
10,5759.841048849268,1132.787679957578
11,8634.622091964728,1708.7717848425048
12,12940.371208785102,2572.2339940389775
13,19384.569858975716,3866.2711149174875
14,29018.507760281747,5804.728100815059
15,43396.94345928145,8706.578876843234
16,64802.69671482823,13046.273222771379
17,96550.95985100722,19526.542894254202
18,143375.569584003,29181.638879354927
19,211860.53705067624,43519.19583775523
20,310786.5754944717,64705.24954282286
21,451072.5705339053,95783.90709227003
22,644675.5642577615,140891.16414566056
23,901451.9497283549,205358.72057143672
24,1223014.4182039318,295503.9155442722
25,1594148.8978731094,417805.3573646654
26,1976083.734487732,577220.2471519765
27,2311121.8291454464,774828.6206007497
28,2543753.996259542,1005940.8035152943
29,2647320.50941756,1260316.2031412486
30,2632735.886601968,1525048.2540830045
31,2533538.7960303794,1788321.8427432014
32,2385079.975253187,2041675.7223462395
33,2214185.917707908,2280183.7198715582
34,2038063.6281360795,2501602.311642349
35,1866731.9775418614,2705408.674455957
36,1706143.3732662322,2892081.872210144
37,1559500.0491090796,3062696.2095367666
38,1429314.452573691,3218646.214447675
39,1317882.5727896942,3361577.659705044
40,1228099.4118120228,3493365.9169840137
41,1164130.480736785,3616175.8581652166
42,1132124.1390217582,3732588.9062388944
43,1140980.0097567504,3845801.32014107
44,1203181.2922073356,3959899.3211167455
