dia,infectados,removidos
0,100.0,0.0
1,149.99870543486492,10.0
2,224.99495124792583,24.999870543486495
3,337.4851452572284,47.49936566827908
4,506.2108980472026,81.24788019400192
5,759.2778495471085,131.86896999872218
6,1138.8291804135627,207.79675495343304
7,1708.0452391003414,321.6796729947893
8,2561.6190507867036,492.4841969048235
9,3841.4157797408398,748.6461019834938
10,5759.841048849268,1132.787679957578
11,8634.622091964728,1708.7717848425048
12,12940.371208785102,2572.2339940389775
13,19384.569858975716,3866.2711149174875
14,29018.507760281747,5804.728100815059
15,43396.94345928145,8706.578876843234
16,64802.69671482823,13046.273222771379
17,96550.95985100722,19526.542894254202
18,143375.569584003,29181.638879354927
19,211860.53705067624,43519.19583775523
20,310786.5754944717,64705.24954282286
21,451072.5705339053,95783.90709227003
22,644675.5642577615,140891.16414566056
23,901451.9497283549,205358.72057143672
24,1223014.4182039318,295503.9155442722
25,1594148.8978731094,417805.3573646654
26,1976083.734487732,577220.2471519765
27,2311121.8291454464,774828.6206007497
28,2543753.996259542,1005940.8035152943
29,2647320.50941756,1260316.2031412486
30,2632735.886601968,1525048.2540830045
31,2533538.7960303794,1788321.8427432014
32,2385079.975253187,2041675.7223462395
33,2214185.917707908,2280183.7198715582
34,2038063.6281360795,2501602.311642349
35,1866731.9775418614,2705408.674455957
36,1706143.3732662322,2892081.872210144
37,1559500.0491090796,3062696.2095367666
38,1429314.452573691,3218646.214447675
39,1317882.5727896942,3361577.659705044
40,1228099.4118120228,3493365.9169840137
41,1164130.480736785,3616175.8581652166
42,1132124.1390217582,3732588.9062388944
43,1140980.0097567504,3845801.32014107
44,1203181.2922073356,3959899.3211167455
45,1334876.5366042624,4080217.450337479
46,1556005.404731487,4213705.103997906
47,1888301.3145611833,4369305.644471054
48,2352080.4389233086,4558135.775927173
49,2962226.729893507,4793343.819819504
50,3725071.9110142635,5089566.492808854
51,4635734.071863551,5462073.683910281
52,5672153.309561199,5925647.091096636
53,6782828.362280881,6492862.422052755
54,7876983.315531735,7171145.258280845
55,8836935.724871147,7958843.589834018
56,9559557.57951929,8842537.162321134
57,9998316.975301905,9798492.920273062
58,10172753.71726344,10798324.617803251
59,10142290.657514747,11815599.989529599
60,9970247.79315397,12829829.055281073
61,9699116.597705986,13826853.834596466
62,9348475.127595514,14796765.494367067
63,8930217.081821144,15731613.007126618
64,8465955.684319258,16624634.715308733
65,7989982.661727617,17471230.28374066
66,7538248.217195088,18270228.54991342
67,7136359.014182728,19024053.37163293
68,6795383.053710385,19737689.273051202
69,6512808.926053312,20417227.578422245
70,6275553.157087216,21068508.471027568
71,6064289.263226319,21696063.786736295
72,5862097.677688495,22302492.713058926
73,5663218.23384431,22888702.480827775
74,5473066.390627371,23455024.304212205
75,5298686.306455678,24002330.94327494
76,5140987.939323429,24532199.57392051
77,4996018.425824138,25046298.367852855
78,4860436.3619124405,25545900.210435268
79,4733625.502901966,26031943.846626513
80,4616373.21415234,26505306.39691671
81,4510787.73472539,26966943.718331944
82,4419592.921999498,27418022.491804484
83,4342706.920374725,27859981.784004435
84,4272903.745758507,28294252.476041906
85,4194904.063821145,28721542.850617755
86,4089862.2955066357,29141033.25699987
87,3943290.027418462,29550019.48655054
88,3751941.120208526,29944348.48929238
89,3524691.196476775,30319542.601313233
90,3276594.2440442685,30672011.72096091
91,3021918.2754865168,30999671.14536534
92,2771208.1910074065,31301862.972913988
93,2531617.1510337596,31578983.79201473
94,2307860.615719937,31832145.507118106
95,2102827.6761410777,32062931.568690095
96,1917987.4240830776,32273214.336304206
97,1753633.5636966107,32465013.07871251
98,1608864.5550286267,32640376.435082175
99,1481359.2961847251,32801262.89058504
100,1367331.8282679927,32949398.82020351
101,1262227.9803810057,33086132.00303031
102,1162233.919642597,33212354.80106841
103,1065588.1409645046,33328578.193032674
104,972540.4717904383,33435137.00712912
105,884232.39948112,33532391.05430816
106,801687.8938397173,33620814.29425627
107,725443.9054167736,33700983.08364025
108,655595.3211611437,33773527.47418193
109,591949.7526606084,33839087.00629804
110,534159.2668256883,33898281.9815641
111,481805.8390594502,33951697.908246666
112,434450.90292688686,33999878.49215262
113,391662.3436265128,34043323.5824453
114,353028.39254872035,34082489.816807956
115,318164.15403050283,34117792.65606283
116,286714.0486260589,34149609.07146588
117,258352.02192234882,34178280.476328485
118,232780.55833764793,34204115.67852071
119,209729.08693035913,34227393.73435448
120,188952.11234167597,34248366.64304752
121,170227.2600022587,34267261.854281686
122,153353.34204128876,34284284.58028191
123,138148.5022710833,34299619.91448604
124,124448.47041010617,34313434.764713146
125,112104.93906003589,34325879.61175416
126,100984.0671407012,34337090.105660155
127,90965.10776970403,34347188.51237423
128,81939.15533670312,34356285.023151204
129,73808.00479918678,34364478.93868487
130,66483.11543019605,34371859.73916479
131,59884.67101775047,34378508.05070781
132,53940.72862601535,34384496.517809585
133,48586.44833854077,34389890.590672195
134,43763.39682522214,34394749.23550604
135,39418.91805073226,34399125.57518856
136,35505.56493762871,34403067.466993645
137,31980.58629008584,34406618.0234874
138,28805.46376081409,34409816.08211641
139,25945.49409639428,34412696.6284925
140,23369.41232080013,34415291.17790213
141,21049.051911497456,34417628.11913421
142,18959.038386898977,34419733.02432536
143,17076.513058779412,34421628.92816405
144,15380.88400976046,34423336.57946993
145,13853.601635737803,34424874.6678709
146,12477.956347890895,34426260.02803448
147,11238.896260502479,34427507.82366926
148,10122.862901019009,34428631.71329532
149,9117.643169353832,34429643.99958542
150,8212.235946037521,34430555.76390235
151,7396.731905022996,34431376.98749696
152,6662.205228221067,34432116.66068746
153,6000.616046531282,34432782.88121028
154,5404.722547494608,34433382.94281494
155,4868.001793877196,34433923.415069684
156,4384.578391549652,34434410.21524908
157,3949.160229913807,34434848.67308823
158,3556.980594723481,34435243.58911122
159,3203.7460222424593,34435599.28717069
