estado,clave,inventario_bovino_2023
Aguascalientes,01,93990
Baja California,02,263305
Baja California Sur,03,146654
Campeche,04,677246
Coahuila,05,481850
Colima,06,190817
Chiapas,07,2633463
Chihuahua,08,2245810
Ciudad de México,09,2356
Durango,10,1363227
Guanajuato,11,800283
Guerrero,12,1313995
Hidalgo,13,473305
Jalisco,14,3115594
Estado de México,15,586818
Michoacán,16,2012284
Morelos,17,108107
Nayarit,18,670644
Nuevo León,19,602254
Oaxaca,20,1844891
Puebla,21,751229
Querétaro,22,359995
Quintana Roo,23,123747
San Luis Potosí,24,1057139
Sinaloa,25,1665988
Sonora,26,1655136
Tabasco,27,1720826
Tamaulipas,28,1220235
Tlaxcala,29,46922
Veracruz,30,4634761
Yucatán,31,605536
Zacatecas,32,1010051
